date,season,away_team.x,away_goals,home_team,home_goals,extra_time,attendance,winner,game_status,home_odds,tie_odds,away_odds,location_lon,location_lat,label_content
10/10/2018,2018/2019,Winnipeg Jets,0,shville Predators,3,Normal Time,17228,shville Predators,Played,2.28,4.2,2.8,-86.778458,36.159125,shville Predators vs Winnipeg Jets | Score: 3 - 0 Normal Time | Winner is shville Predators
10/10/2018,2018/2019,Calgary Flames,3,St. Louis Blues,5,Normal Time,16403,St. Louis Blues,Played,2.29,4.25,2.8,-90.202834,38.626798,St. Louis Blues vs Calgary Flames | Score: 5 - 3 Normal Time | Winner is St. Louis Blues
10/10/2018,2018/2019,Vegas Golden Knights,2,Pittsburgh Penguins,4,Normal Time,18610,Pittsburgh Penguins,Played,1.88,4.8,3.65,-79.989706,40.438823,Pittsburgh Penguins vs Vegas Golden Knights | Score: 4 - 2 Normal Time | Winner is Pittsburgh Penguins
10/10/2018,2018/2019,Washington Capitals,0,New Jersey Devils,6,Normal Time,16514,New Jersey Devils,Played,2.48,4.55,2.5,-74.171058,40.733511,New Jersey Devils vs Washington Capitals | Score: 6 - 0 Normal Time | Winner is New Jersey Devils
10/10/2018,2018/2019,San Jose Sharks,2,New York Rangers,3,OT,17004,New York Rangers,Played,3.05,4.33,2.13,-73.993455,40.750478,New York Rangers vs San Jose Sharks | Score: 3 - 2 OT | Winner is New York Rangers
10/10/2018,2018/2019,Toronto Maple Leafs,5,Detroit Red Wings,3,Normal Time,19515,Toronto Maple Leafs,Played,3.4,4.4,1.95,-83.055271,42.341077,Detroit Red Wings vs Toronto Maple Leafs | Score: 3 - 5 Normal Time | Winner is Toronto Maple Leafs
10/10/2018,2018/2019,Edmonton Oilers,1,Boston Bruins,4,Normal Time,17565,Boston Bruins,Played,1.96,4.5,3.35,-71.062106,42.366179,Boston Bruins vs Edmonton Oilers | Score: 4 - 1 Normal Time | Winner is Boston Bruins
10/10/2018,2018/2019,Colorado Avalanche,6,Buffalo Sabres,1,Normal Time,15396,Colorado Avalanche,Played,2.7,4.2,2.4,-78.876395,42.874951,Buffalo Sabres vs Colorado Avalanche | Score: 1 - 6 Normal Time | Winner is Colorado Avalanche
10/10/2018,2018/2019,Los Angeles Kings,3,Montreal Cadiens,0,Normal Time,21302,Los Angeles Kings,Played,2.42,4.15,2.61,-73.56945,44.496067,Montreal Cadiens vs Los Angeles Kings | Score: 0 - 3 Normal Time | Winner is Los Angeles Kings
10/10/2018,2018/2019,Chicago Blackhawks,3,Minnesota Wild,4,OT,18652,Minnesota Wild,Played,2.04,4.33,3.2,-93.102168,44.944905,Minnesota Wild vs Chicago Blackhawks | Score: 4 - 3 OT | Winner is Minnesota Wild
12/10/2018,2018/2019,Vancouver Canucks,3,Florida Panthers,2,Normal Time,11953,Vancouver Canucks,Played,1.85,4.75,3.84,-80.325378,26.158498,Florida Panthers vs Vancouver Canucks | Score: 2 - 3 Normal Time | Winner is Vancouver Canucks
12/10/2018,2018/2019,Columbus Blue Jackets,2,Tampa Bay Lightning,8,Normal Time,19092,Tampa Bay Lightning,Played,1.99,4.45,3.4,-82.451804,27.942695,Tampa Bay Lightning vs Columbus Blue Jackets | Score: 8 - 2 Normal Time | Winner is Tampa Bay Lightning
12/10/2018,2018/2019,Aheim Ducks,3,Dallas Stars,5,Normal Time,18532,Dallas Stars,Played,1.99,4.45,3.36,-96.810706,32.791093,Dallas Stars vs Aheim Ducks | Score: 5 - 3 Normal Time | Winner is Dallas Stars
12/10/2018,2018/2019,Buffalo Sabres,3,Arizo Coyotes,0,Normal Time,15304,Buffalo Sabres,Played,2.18,4.2,3.1,-112.261173,33.532977,Arizo Coyotes vs Buffalo Sabres | Score: 0 - 3 Normal Time | Winner is Buffalo Sabres
12/10/2018,2018/2019,Toronto Maple Leafs,4,Washington Capitals,2,Normal Time,18506,Toronto Maple Leafs,Played,2.38,4.65,2.53,-77.021903,38.898147,Washington Capitals vs Toronto Maple Leafs | Score: 2 - 4 Normal Time | Winner is Toronto Maple Leafs
12/10/2018,2018/2019,Calgary Flames,3,Colorado Avalanche,2,OT,17334,Calgary Flames,Played,2.3,4.33,2.75,-105.008479,39.74822,Colorado Avalanche vs Calgary Flames | Score: 2 - 3 OT | Winner is Calgary Flames
12/10/2018,2018/2019,Vegas Golden Knights,1,Philadelphia Flyers,0,Normal Time,19067,Vegas Golden Knights,Played,2.44,4.2,2.58,-75.171967,39.90041,Philadelphia Flyers vs Vegas Golden Knights | Score: 0 - 1 Normal Time | Winner is Vegas Golden Knights
12/10/2018,2018/2019,Edmonton Oilers,2,New York Rangers,1,Normal Time,17085,Edmonton Oilers,Played,2.72,4.2,2.4,-73.993455,40.750478,New York Rangers vs Edmonton Oilers | Score: 1 - 2 Normal Time | Winner is Edmonton Oilers
12/10/2018,2018/2019,St. Louis Blues,3,Chicago Blackhawks,4,OT,21634,Chicago Blackhawks,Played,2.5,4.2,2.46,-87.674192,41.880666,Chicago Blackhawks vs St. Louis Blues | Score: 4 - 3 OT | Winner is Chicago Blackhawks
12/10/2018,2018/2019,Detroit Red Wings,2,Boston Bruins,8,Normal Time,17565,Boston Bruins,Played,1.65,4.85,4.5,-71.062106,42.366179,Boston Bruins vs Detroit Red Wings | Score: 8 - 2 Normal Time | Winner is Boston Bruins
12/10/2018,2018/2019,Pittsburgh Penguins,3,Montreal Cadiens,4,SO,21302,Montreal Cadiens,Played,3.1,4.65,2.04,-73.56945,44.496067,Montreal Cadiens vs Pittsburgh Penguins | Score: 4 - 3 SO | Winner is Montreal Cadiens
12/10/2018,2018/2019,Caroli Hurricanes,5,Minnesota Wild,4,OT,18715,Caroli Hurricanes,Played,2.21,4.25,2.85,-93.102168,44.944905,Minnesota Wild vs Caroli Hurricanes | Score: 4 - 5 OT | Winner is Caroli Hurricanes
